file_in,url
10.1017_s0003055419000789,10.7910/DVN/B9U5BH
10.1017_s0003055419000807,10.7910/DVN/KPS1KY
10.1017_s0003055419000819,10.7910/DVN/VWBTL5
10.1017_s0003055419000820,10.7910/DVN/E5KOKE
10.1017_s0003055419000832,10.7910/DVN/J0GBTX
10.1017_s0003055419000844,10.7910/DVN/5MAQC2
10.1017_s0003055419000856,10.7910/DVN/7PZHF6
10.1017_s0003055419000868,10.7910/DVN/VCE7KN
10.1017_s0003055419000868,10.7910/DVN/LEJUQZ
10.1017_s000305541900087x,10.7910/DVN/QM15HX
10.1017_s0003055419000881,10.7910/DVN/UN3KML
10.1017_s0003055419000893,10.7910/DVN/GL2WN8
10.1017_s000305541900090x,10.7910/DVN/DYCUSZ
10.1017_s0003055419000923,10.7910/DVN/8BFYQO
10.1017_s0003055420000027,10.7910/DVN/YDBMNI
10.1017_s0003055420000039,10.7910/DVN/KFQOCV
10.1017_s0003055420000052,10.7910/DVN/EEARKA
10.1017_s0003055420000064,10.7910/DVN/E3BAO5
10.1017_s0003055420000076,10.7910/DVN/L3NT6P
10.1017_s000305542000009x,10.7910/DVN/HVRCKM
10.1017_s0003055420000106,10.7910/DVN/KSSFDI
10.1017_s0003055420000118,10.7910/DVN/MYF97D
10.1017_s0003055420000118,10.7910/DVN/LIHUAA
10.1017_s000305542000012x,10.7910/DVN/HD7UUU
10.1017_s0003055420000131,10.7910/DVN/MCEFXL
10.1017_s0003055420000143,10.7910/DVN/5QBS9A
10.1017_s0003055420000155,10.7910/DVN/HULLNG
10.1017_s0003055420000180,10.7910/DVN/PYRVKV
10.1017_s0003055420000192,10.7910/DVN/XI7ENB
10.1017_s0003055420000222,10.7910/DVN/TI7ORN
10.1017_s0003055420000234,10.7910/DVN/WTYLTK
10.1017_s0003055420000258,10.7910/DVN/CCGPUQ
10.1017_s000305542000026x,10.7910/DVN/QQ2FV9
10.1017_s0003055420000283,10.7910/DVN/KQJKY0
10.1017_s0003055420000295,10.7910/DVN/TRLSJA
10.1017_s0003055420000313,10.7910/DVN/7WFX1K
10.1017_s0003055420000325,10.7910/DVN/EPDD6F
10.1017_s0003055420000337,10.7910/DVN/2CITBJ
10.1017_s0003055420000349,10.7910/DVN/5LAZ54
10.1017_s0003055420000350,10.7910/DVN/6AAGM9
10.1017_s0003055420000374,10.7910/DVN/YUXHZT
10.1017_s0003055420000386,10.7910/DVN/8ZT2ID
10.1017_s0003055420000398,10.7910/DVN/4M0HEN
10.1017_s0003055420000404,10.7910/DVN/FCZDKD
10.1017_s0003055420000416,10.7910/DVN/VWFKDG
10.1017_s0003055420000441,10.7910/DVN/OVEGLS
10.1017_s0003055420000465,10.7910/DVN/RSSRRV
10.1017_s0003055420000477,10.7910/DVN/N1JX6Y
10.1017_s0003055420000490,10.7910/DVN/YTRCQE
10.1017_s0003055420000519,10.7910/DVN/LCWR7G
10.1017_s0003055420000520,10.7910/DVN/JORLQM
10.1017_s0003055420000532,10.7910/DVN/BOWEJG
10.1017_s0003055420000532,10.7910/DVN/DPESAK
10.1017_s0003055420000544,10.7910/DVN/IUZDQI
10.1017_s0003055420000556,10.7910/DVN/RDIJQC
10.1017_s0003055420000568,10.7910/DVN/QIWQWL
10.1017_s0003055420000623,10.7910/DVN/57QESD
10.1017_s0003055420000635,10.7910/DVN/YF761K
10.1017_s0003055420000647,10.7910/DVN/X2VJJX
10.1017_s0003055420000672,10.7910/DVN/NOMC0H
10.1017_s0003055420000684,10.7910/DVN/VRH8ND
10.1017_s0003055420000696,10.7910/DVN/IR9XGC
10.1017_s0003055420000738,10.7910/DVN/NRRVJ3
10.1017_s0003055420000763,10.7910/DVN/MOL5B3
10.1017_s0003055420000787,10.7910/DVN/2XO7HR
10.1017_s0003055420000799,10.7910/DVN/UM0ZOF
10.1017_s0003055420000805,10.7910/DVN/19FLXV
10.1017_s0003055420000817,10.7910/DVN/PAMABU
10.1017_s0003055420000829,10.7910/DVN/HDDPTB
10.1017_s0003055420000830,10.7910/DVN/ZABHCA
10.1017_s0003055420000842,10.7910/DVN/NNFDNB
10.1017_s0003055420000854,10.7910/DVN/XS4P50
10.1017_s0003055420000866,10.7910/DVN/SWSY7T
10.1017_s0003055420000908,10.7910/DVN/MNRIEP
10.1017_s000305542000091x,10.7910/DVN/1XXDMW
10.1017_s0003055420000933,10.7910/DVN/BC2HEO
10.1017_s0003055420000945,10.7910/DVN/383K6K
10.1017_s0003055420000957,10.7910/DVN/BGCVOW
10.1017_s0003055420000970,10.7910/DVN/S1EUAF
10.1017_s0003055420001008,10.7910/DVN/AP0DHP
10.1017_s000305542000101x,10.7910/DVN/8BTOHQ
10.1017_s0003055420001057,10.7910/DVN/5UEEU2
10.1017_s0003055420001069,10.7910/DVN/FLV8GQ
10.1017_s0003055420001070,10.7910/DVN/GKVNDS
10.1017_s0003055420001082,10.7910/DVN/IROJ12
10.1017_s0003055420001094,10.7910/DVN/P6N636
10.1017_s0003055420001124,10.7910/DVN/CCV1NN
10.1017_s0003055420001136,10.7910/DVN/QYU1UO
10.1017_s0003055420001136,10.7910/DVN/JH5UU8
10.1017_s0003055420001148,10.7910/DVN/C139OP
10.1017_s000305542000115x,10.7910/DVN/GYEGW4
10.1017_s0003055421000010,10.7910/DVN/XMKPSQ
10.1017_s0003055421000034,10.7910/DVN/9CEQKX
10.1017_s0003055421000058,10.7910/DVN/EAPKQX
10.1017_s000305542100006x,10.7910/DVN/DZWOCK
10.1017_s0007123416000752,10.7910/DVN/WMRQ16
10.1017_s000712341600079x,10.7910/DVN/KWM3CY
10.1017_s0007123417000011,10.7910/DVN/ZYCCZM
10.1017_s0007123417000035,10.7910/DVN/R3DJI6
10.1017_s0007123417000096,10.7910/DVN/HG0YSS
10.1017_s0007123417000102,10.7910/DVN/J0G6K3
10.1017_s0007123417000114,10.7910/DVN/K1TVXL
10.1017_s0007123417000138,10.7910/DVN/XQKBY6
10.1017_s000712341700014x,10.7910/DVN/XT08HW
10.1017_s0007123417000151,10.7910/DVN/ZTJWUF
10.1017_s0007123417000163,10.7910/DVN/MG11FA
10.1017_s0007123417000187,10.7910/DVN/ORDLXK
10.1017_s0007123417000199,10.7910/DVN/JXSIV0
10.1017_s0007123417000205,10.7910/DVN/BFCD08
10.1017_s0007123417000217,10.7910/DVN/Y3QFBP
10.1017_s0007123417000242,10.7910/DVN/IEX6BE
10.1017_s0007123417000254,10.7910/DVN/SC5UIN
