Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,
Journal of Global Security Studies,2057-3170,2057-3189,"INTERNATIONAL RELATIONS - ESCI","189",n/a,"n/a",1.53,7.89%,
Journal of International Studies-JIS,1823-691X,2289-666X,"INTERNATIONAL RELATIONS - ESCI","23",n/a,"n/a",0.16,100.00%,
Revista CIDOB d Afers Internationals,1133-6595,2013-035X,"INTERNATIONAL RELATIONS - ESCI","110",n/a,"n/a",0.15,100.00%,
Romanian Journal of European Affairs,1582-8271,1841-4273,"INTERNATIONAL RELATIONS - ESCI","84",n/a,"n/a",0.24,100.00%,
Obrana a Strategie-Defence & Strategy,1214-6463,1802-7199,"INTERNATIONAL RELATIONS - ESCI","5",n/a,"n/a",0.08,100.00%,
Contemporary Review of the Middle East,2347-7989,2349-0055,"INTERNATIONAL RELATIONS - ESCI","25",n/a,"n/a",0.23,1.32%,
Diritti Umani e Diritto Internazionale,1971-7105,1972-5485,"INTERNATIONAL RELATIONS - ESCI","60",n/a,"n/a",0.14,0.00%,
Meridiano 47-Journal of Global Studies,1518-1219,1518-1219,"INTERNATIONAL RELATIONS - ESCI","10",n/a,"n/a",0.09,100.00%,
Croatian International Relations Review,N/A,1848-5782,"INTERNATIONAL RELATIONS - ESCI","38",n/a,"n/a",0.35,100.00%,
Korean Journal of International Studies,2233-470X,2288-5072,"INTERNATIONAL RELATIONS - ESCI","35",n/a,"n/a",0.09,100.00%,
MGIMO Review of International Relations,2071-8160,2541-9099,"INTERNATIONAL RELATIONS - ESCI","54",n/a,"n/a",0.12,100.00%,
Vojenske Rozhledy-Czech Military Review,1210-3292,2336-2995,"INTERNATIONAL RELATIONS - ESCI","33",n/a,"n/a",n/a,100.00%,
Peace Review-A Journal of Social Justice,1040-2659,1469-9982,"INTERNATIONAL RELATIONS - ESCI","336",n/a,"n/a",0.16,4.17%,
Journal for Peace and Nuclear Disarmament,N/A,2575-1654,"INTERNATIONAL RELATIONS - ESCI","51",n/a,"n/a",0.36,100.00%,
Journal of Military and Strategic Studies,1488-559X,1488-559X,"INTERNATIONAL RELATIONS - ESCI","33",n/a,"n/a",0.05,0.00%,
European Journal of International Security,2057-5637,2057-5645,"INTERNATIONAL RELATIONS - ESCI","188",n/a,"n/a",1.36,5.45%,
Mirovaya Ekonomika i Mezhdunarodnye Otnosheniya,0131-2227,0131-2227,"INTERNATIONAL RELATIONS - ESCI","195",n/a,"n/a",0.25,0.00%,
All Azimuth-A Journal of Foreign Policy and Peace,2146-7757,2146-7757,"INTERNATIONAL RELATIONS - ESCI","51",n/a,"n/a",0.52,0.00%,
India Quarterly-A Journal of International Affairs,0974-9284,0975-2684,"INTERNATIONAL RELATIONS - ESCI","126",n/a,"n/a",0.21,0.00%,
Journal of Asian Security and International Affairs,2347-7970,2349-0039,"INTERNATIONAL RELATIONS - ESCI","67",n/a,"n/a",0.36,5.13%,
Revista de Estudios en Seguridad Internacional-RESI,N/A,2444-6157,"INTERNATIONAL RELATIONS - ESCI","7",n/a,"n/a",0.08,100.00%,
South African Journal of International Affairs-SAJIA,1022-0461,1938-0275,"INTERNATIONAL RELATIONS - ESCI","213",n/a,"n/a",0.32,0.00%,
Si Somos Americanos-Revista de Estudios Transfronterizos,0718-2910,0719-0948,"INTERNATIONAL RELATIONS - ESCI","46",n/a,"n/a",0.09,100.00%,
International Negotiation-A Journal of Theory and Practice,1382-340X,1571-8069,"INTERNATIONAL RELATIONS - ESCI","290",n/a,"n/a",0.42,10.45%,
Stability-International Journal of Security and Development,2165-2627,2165-2627,"INTERNATIONAL RELATIONS - ESCI","237",n/a,"n/a",0.38,100.00%,
International Journal of Intelligence and Counterintelligence,0885-0607,1521-0561,"INTERNATIONAL RELATIONS - ESCI","295",n/a,"n/a",0.35,3.36%,
OASIS-Observatorio de Analisis de los Sistemas Internacionales,1657-7558,2346-2132,"INTERNATIONAL RELATIONS - ESCI","19",n/a,"n/a",0.05,100.00%,
Vestnik Mezhdunarodnykh Organizatsii-International Organisations Research Journal,1996-7845,1996-7845,"INTERNATIONAL RELATIONS - ESCI","88",n/a,"n/a",0.33,100.00%,
